channel,title,picked,auto_topics,minutes,url,views,video_id
3Blue1Brown,Newton’s fractal (which Newton knew nothing about),yes,recursion & fractals,26.1,https://www.youtube.com/watch?v=-RdOwhmqP5s,3100000,-RdOwhmqP5s
3Blue1Brown,Make math videos! | Summer of Math Exposition announcement,,,24.4,https://www.youtube.com/watch?v=ojjzXyQCzso,739000,ojjzXyQCzso
3Blue1Brown,"A quick trick for computing eigenvalues | Chapter 15, Essence of linear algebra",,algebra & equations; matrices & vectors,13.2,https://www.youtube.com/watch?v=e50Bj7jn9IQ,1300000,e50Bj7jn9IQ
3Blue1Brown,How (and why) to raise e to the power of a matrix | DE6,,exponentials & logarithms; matrices & vectors,27.1,https://www.youtube.com/watch?v=O85OWBJ2ayo,3600000,O85OWBJ2ayo
3Blue1Brown,"The medical test paradox, and redesigning Bayes' rule",yes,logic; probability,21.2,https://www.youtube.com/watch?v=lG4VkPoG3ko,1400000,lG4VkPoG3ko
3Blue1Brown,Hamming codes part 2: The one-line implementation,yes,compression & error correction,16.8,https://www.youtube.com/watch?v=b3NxrZOu_CE,950000,b3NxrZOu_CE
3Blue1Brown,But what are Hamming codes? The origin of error correction,yes,compression & error correction; history,20.1,https://www.youtube.com/watch?v=X8jsijhllIA,3000000,X8jsijhllIA
3Blue1Brown,"Group theory, abstraction, and the 196,883-dimensional monster",,3D graphics; geometry,22.0,https://www.youtube.com/watch?v=mH0oCDa74tE,3700000,mH0oCDa74tE
3Blue1Brown,The impossible chessboard puzzle,yes,games & puzzles,18.7,https://www.youtube.com/watch?v=wTJI_WuZSwE,2100000,wTJI_WuZSwE
3Blue1Brown,The DP-3T algorithm for contact tracing (with Nicky Case),,algorithms & complexity,4.4,https://www.youtube.com/watch?v=D__UaR5MQao,364000,D__UaR5MQao
3Blue1Brown,Lockdown math announcement,,,2.2,https://www.youtube.com/watch?v=ppWPuXsnf1Q,983000,ppWPuXsnf1Q
3Blue1Brown,"Why “probability of 0” does not mean “impossible” | Probabilities of probabilities, part 2",,probability; statistics & data,10.0,https://www.youtube.com/watch?v=ZA4JkHKZM50,3300000,ZA4JkHKZM50
3Blue1Brown,Simulating an epidemic,yes,simulation,23.2,https://www.youtube.com/watch?v=gxAaO2rsdIs,5200000,gxAaO2rsdIs
3Blue1Brown,"Binomial distributions | Probabilities of probabilities, part 1",yes,probability,12.6,https://www.youtube.com/watch?v=8idr1WZ1A7Q,2600000,8idr1WZ1A7Q
3Blue1Brown,Exponential growth and epidemics,yes,exponentials & logarithms,8.9,https://www.youtube.com/watch?v=Kas0tIxDvrg,6000000,Kas0tIxDvrg
3Blue1Brown,The quick proof of Bayes' theorem,yes,logic; probability,3.8,https://www.youtube.com/watch?v=U_85TaXbeIo,564000,U_85TaXbeIo
3Blue1Brown,"Bayes theorem, the geometry of changing beliefs",yes,geometry; probability,15.2,https://www.youtube.com/watch?v=HZGCoVF3YvM,5900000,HZGCoVF3YvM
3Blue1Brown,"Q&A with Grant, windy walk edition",,simulation,19.1,https://www.youtube.com/watch?v=Agbh95KyWxY,450000,Agbh95KyWxY
3Blue1Brown,Why do prime numbers make these spirals? | Dirichlet’s theorem and pi approximations,yes,numbers; numerical methods; trigonometry & waves,22.4,https://www.youtube.com/watch?v=EK32jo7i5LQ,7600000,EK32jo7i5LQ
3Blue1Brown,"The unexpectedly hard windmill question (2011 IMO, P2)",,,16.1,https://www.youtube.com/watch?v=M64HUIJFTZM,5600000,M64HUIJFTZM
