book,chapter,character,mentions
pride-and-prejudice,21,Mrs Bennet,2
pride-and-prejudice,21,Mr Bennet,0
pride-and-prejudice,21,Lady Catherine,0
pride-and-prejudice,22,Elizabeth,11
pride-and-prejudice,22,Darcy,0
pride-and-prejudice,22,Jane,0
pride-and-prejudice,22,Mr Bingley,0
pride-and-prejudice,22,Miss Bingley,0
pride-and-prejudice,22,Wickham,0
pride-and-prejudice,22,Lydia,0
pride-and-prejudice,22,Mr Collins,15
pride-and-prejudice,22,Charlotte,11
pride-and-prejudice,22,Mrs Bennet,2
pride-and-prejudice,22,Mr Bennet,2
pride-and-prejudice,22,Lady Catherine,1
pride-and-prejudice,23,Elizabeth,12
pride-and-prejudice,23,Darcy,1
pride-and-prejudice,23,Jane,8
pride-and-prejudice,23,Mr Bingley,4
pride-and-prejudice,23,Miss Bingley,1
pride-and-prejudice,23,Wickham,0
pride-and-prejudice,23,Lydia,2
pride-and-prejudice,23,Mr Collins,9
pride-and-prejudice,23,Charlotte,7
pride-and-prejudice,23,Mrs Bennet,8
pride-and-prejudice,23,Mr Bennet,5
pride-and-prejudice,23,Lady Catherine,1
pride-and-prejudice,24,Elizabeth,12
pride-and-prejudice,24,Darcy,7
pride-and-prejudice,24,Jane,13
pride-and-prejudice,24,Mr Bingley,4
pride-and-prejudice,24,Miss Bingley,3
pride-and-prejudice,24,Wickham,2
pride-and-prejudice,24,Lydia,0
pride-and-prejudice,24,Mr Collins,2
pride-and-prejudice,24,Charlotte,4
pride-and-prejudice,24,Mrs Bennet,3
pride-and-prejudice,24,Mr Bennet,2
pride-and-prejudice,24,Lady Catherine,0
pride-and-prejudice,25,Elizabeth,9
pride-and-prejudice,25,Darcy,6
pride-and-prejudice,25,Jane,9
pride-and-prejudice,25,Mr Bingley,5
pride-and-prejudice,25,Miss Bingley,1
pride-and-prejudice,25,Wickham,4
pride-and-prejudice,25,Lydia,0
pride-and-prejudice,25,Mr Collins,2
pride-and-prejudice,25,Charlotte,1
pride-and-prejudice,25,Mrs Bennet,4
pride-and-prejudice,25,Mr Bennet,0
pride-and-prejudice,25,Lady Catherine,0
pride-and-prejudice,26,Elizabeth,21
pride-and-prejudice,26,Darcy,5
pride-and-prejudice,26,Jane,7
pride-and-prejudice,26,Mr Bingley,1
pride-and-prejudice,26,Miss Bingley,8
pride-and-prejudice,26,Wickham,4
pride-and-prejudice,26,Lydia,1
pride-and-prejudice,26,Mr Collins,2
pride-and-prejudice,26,Charlotte,5
pride-and-prejudice,26,Mrs Bennet,1
pride-and-prejudice,26,Mr Bennet,0
pride-and-prejudice,26,Lady Catherine,2
pride-and-prejudice,27,Elizabeth,10
pride-and-prejudice,27,Darcy,0
pride-and-prejudice,27,Jane,4
pride-and-prejudice,27,Mr Bingley,0
pride-and-prejudice,27,Miss Bingley,1
pride-and-prejudice,27,Wickham,2
pride-and-prejudice,27,Lydia,0
pride-and-prejudice,27,Mr Collins,1
pride-and-prejudice,27,Charlotte,3
pride-and-prejudice,27,Mrs Bennet,0
pride-and-prejudice,27,Mr Bennet,0
pride-and-prejudice,27,Lady Catherine,1
pride-and-prejudice,28,Elizabeth,14
pride-and-prejudice,28,Darcy,0
pride-and-prejudice,28,Jane,0
pride-and-prejudice,28,Mr Bingley,0
pride-and-prejudice,28,Miss Bingley,0
pride-and-prejudice,28,Wickham,0
pride-and-prejudice,28,Lydia,0
pride-and-prejudice,28,Mr Collins,10
pride-and-prejudice,28,Charlotte,14
pride-and-prejudice,28,Mrs Bennet,0
pride-and-prejudice,28,Mr Bennet,0
pride-and-prejudice,28,Lady Catherine,5
pride-and-prejudice,29,Elizabeth,14
pride-and-prejudice,29,Darcy,1
pride-and-prejudice,29,Jane,0
pride-and-prejudice,29,Mr Bingley,0
pride-and-prejudice,29,Miss Bingley,0
pride-and-prejudice,29,Wickham,1
pride-and-prejudice,29,Lydia,0
pride-and-prejudice,29,Mr Collins,16
pride-and-prejudice,29,Charlotte,4
pride-and-prejudice,29,Mrs Bennet,0
pride-and-prejudice,29,Mr Bennet,0
pride-and-prejudice,29,Lady Catherine,15
pride-and-prejudice,30,Elizabeth,10
pride-and-prejudice,30,Darcy,4
pride-and-prejudice,30,Jane,1
pride-and-prejudice,30,Mr Bingley,0
pride-and-prejudice,30,Miss Bingley,1
pride-and-prejudice,30,Wickham,0
pride-and-prejudice,30,Lydia,0
pride-and-prejudice,30,Mr Collins,11
pride-and-prejudice,30,Charlotte,5
pride-and-prejudice,30,Mrs Bennet,0
pride-and-prejudice,30,Mr Bennet,0
pride-and-prejudice,30,Lady Catherine,4
pride-and-prejudice,31,Elizabeth,10
pride-and-prejudice,31,Darcy,14
pride-and-prejudice,31,Jane,0
pride-and-prejudice,31,Mr Bingley,0
pride-and-prejudice,31,Miss Bingley,1
pride-and-prejudice,31,Wickham,0
pride-and-prejudice,31,Lydia,0
pride-and-prejudice,31,Mr Collins,2
pride-and-prejudice,31,Charlotte,0
pride-and-prejudice,31,Mrs Bennet,0
pride-and-prejudice,31,Mr Bennet,0
