genus,named_by,first_mya,last_mya,first_stage,last_stage,finds
Mongolosaurus,Gilmore 1933,121.4,100.5,Aptian,Albian,1
Chubutisaurus,del Corro 1975,119.57,110.1,Aptian,Albian,2
Dongbeititan,Wang et al. 2007,125.77,119.57,Barremian,Aptian,1
Oceanotitan,Mocho et al. 2019,152.21,149.2,Kimmeridgian,,1
Ornithopsis,Seeley 1870,145.06,119.57,Tithonian,Aptian,6
Fusuisaurus,Mo et al. 2006,121.4,113.2,Aptian,,1
Dashanpusaurus,Peng et al. 2005,170.9,154.8,Bajocian,Oxfordian,1
Haplocanthosaurus,Hatcher 1903,154.8,143.1,Kimmeridgian,Tithonian,11
Haplocanthus,Hatcher 1903,154.8,143.1,Kimmeridgian,Tithonian,11
Amphicoelias,Cope 1877,157.9,143.1,,,3
Campananeyen,Lerzo et al. 2024,113.2,110.1,Albian,,1
Maraapunisaurus,Carpenter 2018,149.2,143.1,Tithonian,,1
Amazonsaurus,Carvalho et al. 2003,119.57,106.3,Aptian,Albian,1
Rayososaurus,Bonaparte 1996,113.2,110.1,Albian,,1
Lavocatisaurus,Canudo et al. 2018,121.4,110.1,Aptian,Albian,1
Xenoposeidon,Taylor and Naish 2007,139.1,132.6,Berriasian,Valanginian,1
Agustinia,Bonaparte 1999,113.2,100.5,Albian,,1
Katepensaurus,Ibiricu et al. 2013,100.5,89.8,Cenomanian,Turonian,1
Cathartesaura,Gallina and Apesteguía 2005,110.1,106.3,Albian,,1
Limaysaurus,Salgado et al. 2004,113.2,93.9,Albian,Cenomanian,6
Demandasaurus,Torcida Fernández-Baldor et al. 2011,125.77,119.57,Barremian,Aptian,2
Rebbachisaurus,Lavocat 1954,106.3,93.9,Albian,Cenomanian,5
Tataouinea,Fanti et al. 2013,113.2,100.5,Albian,,1
Itapeuasaurus,Lindoso et al. 2019,100.5,93.9,Cenomanian,,1
Nigersaurus,Sereno et al. 1999,121.4,100.5,Aptian,Albian,3
Nopcsaspondylus,Apesteguía 2007,113.2,110.1,Albian,,1
Sidersaura,Lerzo et al. 2024,110.1,106.3,Albian,,2
Astigmasaura,Bellardini et al. 2025,110.1,106.3,Albian,,1
Comahuesaurus,Carballido et al. 2012,119.57,110.1,Aptian,Albian,1
Zapalasaurus,Salgado et al. 2006,125.77,119.57,Barremian,Aptian,1
Cienciargentina,Simón and Salgado 2025,110.1,106.3,Albian,,1
Histriasaurus,Dalla Vecchia 1998,132.6,121.4,Hauterivian,Barremian,1
Cetiosauriscus,Huene 1927,165.3,161.5,Callovian,,1
Pilmatueia,Coria et al. 2019,137.05,132.6,Valanginian,,1
Suuwassea,Harris and Dodson 2004,154.8,143.1,Kimmeridgian,Tithonian,2
Bajadasaurus,Gallina et al. 2019,139.1,132.6,Berriasian,Valanginian,1
Dicraeosaurus,Janensch 1914,161.5,143.1,Oxfordian,Tithonian,19
Brachytrachelopan,Rauhut et al. 2005,154.8,145.06,Kimmeridgian,Tithonian,1
Amargasaurus,Bonaparte 1984,125.77,121.4,Barremian,,2
Kaatedocus,Tschopp and Mateus 2013,154.8,149.2,Kimmeridgian,,1
Athenar,Whitlock et al. 2025,149.2,145.06,Tithonian,,1
Dyslocosaurus,Mcintosh et al. 1992,154.8,143.1,Kimmeridgian,Tithonian,1
Smitanosaurus,Whitlock and Wilson Mantilla 2020,152.21,145.06,Kimmeridgian,Tithonian,1
Amargatitanis,Apesteguía 2007,125.77,121.4,Barremian,,1
Dinheirosaurus,Bonaparte and Mateus 1999,152.21,149.2,Kimmeridgian,,1
Diplodocus,Marsh 1878,157.9,143.1,,,66
Seismosaurus,Gillette 1991,157.9,143.1,,,66
Tornieria,Sternfeld 1911,152.21,143.1,Kimmeridgian,Tithonian,7
Barosaurus,Marsh 1890,157.9,143.1,,,19
Gigantosaurus,Fraas 1908,157.9,143.1,,,19
Galeamopus,Tschopp et al. 2015,154.8,143.1,Kimmeridgian,Tithonian,6
Leinkupal,Gallina et al. 2014,139.1,132.6,Berriasian,Valanginian,1
Ardetosaurus,van der Linden et al. 2024,154.8,149.2,Kimmeridgian,,1
Supersaurus,Jensen 1985,154.8,143.1,Kimmeridgian,Tithonian,5
Dystylosaurus,Jensen 1985,154.8,143.1,Kimmeridgian,Tithonian,5
Ultrasauros,Olshevsky 1991,154.8,143.1,Kimmeridgian,Tithonian,5
Ultrasaurus,Jensen 1985,154.8,143.1,Kimmeridgian,Tithonian,5
Apatosaurus,Marsh 1877,157.9,143.1,,,67
Titanosaurus,Marsh 1877,157.9,143.1,,,67
Brontosaurus,Marsh 1879,154.8,143.1,Kimmeridgian,Tithonian,23
Eobrontosaurus,Bakker 1998,154.8,143.1,Kimmeridgian,Tithonian,23
Elosaurus,Peterson and Gilmore 1902,154.8,143.1,Kimmeridgian,Tithonian,23
Lingwulong,Xu et al. 2018,174.7,161.5,Aalenian,Callovian,1
Dystrophaeus,Cope 1877,157.9,154.8,,,1
Cardiodon,Owen 1841,168.2,165.3,Bathonian,,1
Narindasaurus,Royo-Torres et al. 2021,168.2,165.3,Bathonian,,1
Losillasaurus,Casanovas et al. 2001,154.8,143.1,Kimmeridgian,Tithonian,3
Turiasaurus,Royo-Torres et al. 2006,154.8,143.1,Kimmeridgian,Tithonian,5
Amanzia,Schwarz et al. 2020,154.8,152.21,Kimmeridgian,,2
Moabosaurus,Britt et al. 2017,137.05,132.6,Valanginian,,2
Tendaguria,Bonaparte et al. 2000,149.2,143.1,Tithonian,,2
Mierasaurus,Royo-Torres et al. 2017,139.1,132.6,Berriasian,Valanginian,1
Zby,Mateus et al. 2014,152.21,149.2,Kimmeridgian,,2
Jobaria,Sereno et al. 1999,161.5,143.1,Oxfordian,Tithonian,2
Nebulasaurus,Xing et al. 2015,174.7,168.2,Aalenian,Bajocian,1
Bellusaurus,Dong 1990,159.0,157.9,,,1
Chuanjiesaurus,Fang et al. 2000,170.9,168.2,Bajocian,,1
Klamelisaurus,Zhao 1993,165.3,161.5,Callovian,,1
Abrosaurus,Ouyang 1989,170.9,154.8,Bajocian,Oxfordian,1
Xinjiangtitan,Wu et al. 2013,168.2,143.1,Bathonian,Tithonian,1
Eomamenchisaurus,Lü et al. 2008,174.7,161.5,Aalenian,Callovian,1
Yuanmousaurus,Lü et al. 2006,174.7,161.5,Aalenian,Callovian,1
