genus,named_by,first_mya,last_mya,first_stage,last_stage,finds
Datonglong,Xu et al. 2016,100.5,72.2,Cenomanian,Campanian,1
Yamatosaurus,Kobayashi et al. 2021,72.2,66.0,Maastrichtian,,1
Lapampasaurus,Coria et al. 2012,72.2,66.0,Maastrichtian,,1
Aquilarhinus,Prieto-Márquez et al. 2020,83.6,72.2,Campanian,,1
Shantungosaurus,Hu 1973,100.5,66.0,Cenomanian,Maastrichtian,5
Zhuchengosaurus,Zhao et al. 2007,100.5,66.0,Cenomanian,Maastrichtian,5
Huaxiaosaurus,Zhao 2011,100.5,66.0,Cenomanian,Maastrichtian,5
Edmontosaurus,Lambe 1917,89.8,66.0,Coniacian,Maastrichtian,85
Anatotitan,Brett-Surman 1990,89.8,66.0,Coniacian,Maastrichtian,85
Anatosaurus,Lull and Wright 1942,89.8,66.0,Coniacian,Maastrichtian,85
Kerberosaurus,Bolotsky and Godefroit 2004,72.2,66.0,Maastrichtian,,2
Kundurosaurus,Godefroit et al. 2012,72.2,66.0,Maastrichtian,,2
Ugrunaaluk,Mori et al. 2016,72.2,66.0,Maastrichtian,,1
Kelumapusaura,Rozadilla et al. 2021,72.2,66.0,Maastrichtian,,1
Gryposaurus,Lambe 1914,83.6,66.0,Campanian,Maastrichtian,22
Coahuilasaurus,Longrich et al. 2024,83.6,72.2,Campanian,,2
Huallasaurus,Rozadilla et al. 2021,72.2,66.0,Maastrichtian,,2
Secernosaurus,Brett-Surman 1979,72.2,66.0,Maastrichtian,,1
Kritosaurus,Brown 1910,85.7,66.0,Santonian,Maastrichtian,25
Naashoibitosaurus,Hunt and Lucas 1993,83.6,72.2,Campanian,,1
Mandschurosaurus,Riabinin 1930,121.4,66.0,Aptian,Maastrichtian,3
Kamuysaurus,Kobayashi et al. 2019,72.2,66.0,Maastrichtian,,1
Saurolophus,Brown 1912,83.6,66.0,Campanian,Maastrichtian,38
Prosaurolophus,Brown 1916,83.6,66.0,Campanian,Maastrichtian,15
Bonapartesaurus,Cruzado-Caballero and Powell 2017,72.2,66.0,Maastrichtian,,1
Augustynolophus,Prieto-Márquez et al. 2015,72.2,66.0,Maastrichtian,,2
Acristavus,Gates et al. 2011,83.6,72.2,Campanian,,2
Hadrosaurus,Leidy 1858,85.7,66.0,Santonian,Maastrichtian,9
Wulagasaurus,Godefroit et al. 2008,72.2,66.0,Maastrichtian,,1
Maiasaura,Horner and Makela 1979,83.6,72.2,Campanian,,7
Ornatops,McDonald et al. 2021,83.6,72.2,Campanian,,1
Brachylophosaurus,Sternberg 1953,83.6,72.2,Campanian,,8
Probrachylophosaurus,Freedman Fowler and Horner 2015,83.6,72.2,Campanian,,1
Anasazisaurus,Hunt and Lucas 1993,83.6,72.2,Campanian,,1
Laiyangosaurus,Zhang et al. 2019,83.6,72.2,Campanian,,1
Gongshuilong,Yao et al. 2026,72.2,66.0,Maastrichtian,,1
Barsboldia,Maryanska and Osmólska 1981,72.2,66.0,Maastrichtian,,2
Ahshislesaurus,Dalman et al. 2025,83.6,72.2,Campanian,,3
Rhinorex,Gates and Scheetz 2014,83.6,72.2,Campanian,,1
Minqaria,Longrich et al. 2024,72.2,66.0,Maastrichtian,,1
Adynomosaurus,Prieto-Márquez et al. 2019,72.2,66.0,Maastrichtian,,1
Canardia,Prieto-Marquez et al. 2013,72.2,66.0,Maastrichtian,,2
Blasisaurus,Cruzado-Caballero et al. 2010,72.2,66.0,Maastrichtian,,1
Arenysaurus,Pereda-Suberbiola et al. 2009,72.2,66.0,Maastrichtian,,1
Taleta,Longrich et al. 2025,72.2,66.0,Maastrichtian,,1
Pararhabdodon,Casanovas Cladellas 1992,72.2,66.0,Maastrichtian,,7
Ajnabia,Longrich et al. 2021,72.2,66.0,Maastrichtian,,1
Olorotitan,Godefroit et al. 2003,72.2,66.0,Maastrichtian,,1
Latirhinus,Prieto-Márquez and Serrano Brañas 2012,83.6,72.2,Campanian,,1
Kazaklambia,Bell and Brink 2013,89.8,83.6,Coniacian,Santonian,1
Angulomastacator,Wagner and Lehman 2009,83.6,72.2,Campanian,,1
Corythosaurus,Brown 1914,83.6,72.2,Campanian,,29
Hypacrosaurus,Brown 1913,83.6,66.0,Campanian,Maastrichtian,37
Cheneosaurus,Lambe 1917,83.6,66.0,Campanian,Maastrichtian,37
Velafrons,Gates et al. 2007,83.6,72.2,Campanian,,2
Lambeosaurus,Parks 1923,83.6,72.2,Campanian,,19
Stephanosaurus,Lambe 1914,83.6,72.2,Campanian,,19
Didanodon,Osborn 1902,83.6,72.2,Campanian,,19
Procheneosaurus,Matthew 1920,83.6,72.2,Campanian,,19
Tetragonosaurus,Parks 1931,83.6,72.2,Campanian,,19
Jaxartosaurus,Riabinin 1937,89.8,83.6,Coniacian,Santonian,2
Nipponosaurus,Nagao 1936,85.7,72.2,Santonian,Campanian,1
Aralosaurus,Rozhdestvensky 1968,85.7,72.2,Santonian,Campanian,1
Adelolophus,Gates et al. 2014,83.6,72.2,Campanian,,1
Magnapaulia,Prieto-Marquez et al. 2012,83.6,72.2,Campanian,,4
Tlatolophus,Ramírez-Velasco et al. 2021,83.6,72.2,Campanian,,1
Parasaurolophus,Parks 1922,83.6,72.2,Campanian,,20
Charonosaurus,Godefroit et al. 2000,72.2,66.0,Maastrichtian,,1
Plesiolophus,McFeeters et al. 2026,83.6,72.2,Campanian,,1
Amurosaurus,Bolotsky and Kurzanov 1991,72.2,66.0,Maastrichtian,,2
Sahaliyania,Godefroit et al. 2008,72.2,66.0,Maastrichtian,,2
Tsintaosaurus,Young 1958,83.6,72.2,Campanian,,4
Eotrachodon,Prieto-Márquez et al. 2016,85.7,83.6,Santonian,,1
Malefica,Prieto-Márquez and Wagner 2023,83.6,72.2,Campanian,,1
Qianjiangsaurus,Dai et al. 2025,100.5,66.0,Cenomanian,Maastrichtian,1
Levnesovia,Sues and Averianov 2009,93.9,89.8,Turonian,,3
Zuoyunlong,Wang et al. 2017,100.5,83.6,Cenomanian,Santonian,1
Xuwulong,You et al. 2011,121.4,113.2,Aptian,,1
Shuangmiaosaurus,You et al. 2003,106.3,100.5,Albian,,1
Batyrosaurus,Godefroit et al. 2012,85.7,72.2,Santonian,Campanian,1
Cedrorestes,Gilpin et al. 2007,137.05,132.6,Valanginian,,1
Gobihadros,Tsogtbaatar et al. 2019,100.5,83.6,Cenomanian,Santonian,6
Haolong,Huang et al. 2026,125.77,121.4,Barremian,,1
Claosaurus,Marsh 1890,89.8,72.2,Coniacian,Campanian,3
Plesiohadros,Tsogtbaatar et al. 2014,85.7,72.2,Santonian,Campanian,1
Tanius,Wiman 1929,89.8,72.2,Coniacian,Campanian,5
Morelladon,Gasulla et al. 2015,125.77,121.4,Barremian,,1
Sirindhorna,Shibata et al. 2015,121.4,113.2,Aptian,,1
Comptonatus,Lockwood et al. 2024,125.77,121.4,Barremian,,1
Proa,McDonald et al. 2012,113.2,110.1,Albian,,1
Brighstoneus,Lockwood et al. 2021,125.77,121.4,Barremian,,1
Istiorachis,Lockwood et al. 2025,132.6,121.4,Hauterivian,Barremian,1
Cumnoria,Seeley 1888,152.21,149.2,Kimmeridgian,,1
Iguanacolossus,McDonald et al. 2010,139.1,132.6,Berriasian,Valanginian,2
Hippodraco,McDonald et al. 2010,137.05,132.6,Valanginian,,1
Dakotadon,Paul 2008,137.05,132.6,Valanginian,,1
Delapparentia,Ruiz-Omeñaca 2011,125.77,121.4,Barremian,,2
Camptosaurus,Marsh 1885,157.9,143.1,,,42
Uteodon,McDonald 2011,157.9,143.1,,,42
Brachyrophus,Cope 1878,157.9,143.1,,,42
Camptonotus,Marsh 1879,157.9,143.1,,,42
Symphyrophus,Cope 1878,157.9,143.1,,,42
Iyuku,Forster et al. 2022,137.05,132.6,Valanginian,,1
Mahuidacursor,Cruzado-Caballero et al. 2019,85.7,83.6,Santonian,,1
Fostoria,Bell et al. 2019,100.5,93.9,Cenomanian,,2
Macrogryphosaurus,Calvo et al. 2007,89.8,85.7,Coniacian,,1
Trinisaura,Coria et al. 2013,83.6,72.2,Campanian,,1
Tietasaura,Bandeira et al. 2024,137.05,125.77,Valanginian,Hauterivian,1
Qantassaurus,Rich and Vickers-Rich 1999,125.77,121.4,Barremian,,2
Muttaburrasaurus,Bartholomai and Molnar 1981,106.3,93.9,Albian,Cenomanian,3
Morrosaurus,Rozadilla et al. 2016,72.2,66.0,Maastrichtian,,1
Diluvicursor,Herne et al. 2018,113.2,110.1,Albian,,1
Chakisaurus,Nogueira et al. 2024,110.1,106.3,Albian,,1
Sektensaurus,Ibiricu et al. 2019,83.6,66.0,Campanian,Maastrichtian,2
Isasicursor,Novas et al. 2019,72.2,66.0,Maastrichtian,,2
Leaellynasaura,Rich and Vickers-Rich 1989,113.2,110.1,Albian,,4
Talenkauen,Novas et al. 2004,83.6,72.2,Campanian,,2
Notohypsilophodon,Martínez 1998,100.5,89.8,Cenomanian,Turonian,1
Anabisetia,Coria and Calvo 2002,93.9,89.8,Turonian,,2
Weewarrasaurus,Bell et al. 2018,100.5,93.9,Cenomanian,,2
Kangnasaurus,Haughton 1915,100.5,66.0,Cenomanian,Maastrichtian,1
Atlascopcosaurus,Rich and Vickers-Rich 1989,125.77,110.1,Barremian,Albian,7
Gasparinisaura,Coria and Salgado 1996,83.6,72.2,Campanian,,3
Galleonosaurus,Herne et al. 2019,125.77,110.1,Barremian,Albian,3
Callovosaurus,Galton 1980,165.3,161.5,Callovian,,1
Choyrodon,Gates et al. 2018,110.1,100.5,Albian,,2
Transylvanosaurus,Augustin et al. 2022,72.2,66.0,Maastrichtian,,1
Tenontosaurus,Ostrom 1970,121.4,93.9,Aptian,Cenomanian,83
Iani,Zanno et al. 2023,100.5,93.9,Cenomanian,,1
Convolosaurus,Andrzejewski et al. 2019,119.57,113.2,Aptian,,1
Ampelognathus,Tykoski et al. 2023,100.5,93.9,Cenomanian,,1
Emiliasaura,Coria et al. 2024,137.05,132.6,Valanginian,,1
Rhabdodon,Matheron 1869,83.6,66.0,Campanian,Maastrichtian,37
Oligosaurus,Seeley 1881,83.6,66.0,Campanian,Maastrichtian,37
Ornithomerus,Seeley 1881,83.6,66.0,Campanian,Maastrichtian,37
Zalmoxes,Weishampel et al. 2003,83.6,66.0,Campanian,Maastrichtian,44
Onychosaurus,Nopcsa 1902,83.6,66.0,Campanian,Maastrichtian,44
Matheronodon,Godefroit et al. 2017,83.6,72.2,Campanian,,1
Mochlodon,Seeley 1881,85.7,66.0,Santonian,Maastrichtian,4
Pareisactus,Párraga and Prieto-Márquez 2019,72.2,66.0,Maastrichtian,,1
Foskeia,Dieudonné et al. 2026,125.77,119.57,Barremian,Aptian,1
Obelignathus,Czepiński and Madzia 2025,83.6,66.0,Campanian,Maastrichtian,2
Osmakasaurus,McDonald 2011,154.8,121.4,Kimmeridgian,Barremian,3
Kulindadromeus,Godefroit et al. 2014,168.2,165.3,Bathonian,,3
Agilisaurus,Peng 1990,170.9,154.8,Bajocian,Oxfordian,1
Pulaosaurus,Yang et al. 2025,165.3,154.8,Callovian,Oxfordian,1
Sanxiasaurus,Hu Dai et al. 2019,184.2,170.9,Toarcian,Aalenian,1
Kulindapteryx,Alifanov and Saveliev 2014,168.2,165.3,Bathonian,,1
Hexinlusaurus,Barrett et al. 2005,170.9,154.8,Bajocian,Oxfordian,1
Nyasasaurus,Charig 1967,247.0,241.464,,,2
